rank_test_score,mean_test_f1_majority,param_pre,param_sel,param_clf,param_clf_C,param_clf_n_estimators,param_clf_max_depth
1,0.9838481338481339,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scaler', StandardScaler())])",passthrough,"LogisticRegression(max_iter=200, random_state=42, solver='liblinear')",,,
2,0.982109242905703,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scaler', StandardScaler())])",passthrough,"LogisticRegression(max_iter=200, random_state=42, solver='liblinear')",,,
3,0.9804339088572902,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scaler', StandardScaler())])",passthrough,"LogisticRegression(max_iter=200, random_state=42, solver='liblinear')",,,
4,0.975180129310564,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median'))])",passthrough,RandomForestClassifier(random_state=42),,,
4,0.975180129310564,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median'))])",passthrough,RandomForestClassifier(random_state=42),,,
4,0.975180129310564,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scaler', StandardScaler())])",passthrough,RandomForestClassifier(random_state=42),,,
4,0.975180129310564,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scaler', StandardScaler())])",passthrough,RandomForestClassifier(random_state=42),,,
8,0.9717263770712046,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median'))])",passthrough,RandomForestClassifier(random_state=42),,,
8,0.9717263770712046,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scaler', StandardScaler())])",passthrough,RandomForestClassifier(random_state=42),,,
8,0.9717263770712046,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scaler', StandardScaler())])",passthrough,RandomForestClassifier(random_state=42),,,
8,0.9717263770712046,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median'))])",passthrough,RandomForestClassifier(random_state=42),,,
12,0.9659354059417332,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scaler', StandardScaler())])",SelectKBest(),"LogisticRegression(max_iter=200, random_state=42, solver='liblinear')",,,
13,0.9659151086961174,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median'))])",passthrough,"LogisticRegression(max_iter=200, random_state=42, solver='liblinear')",,,
14,0.9622714580991406,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scaler', StandardScaler())])",SelectKBest(),"LogisticRegression(max_iter=200, random_state=42, solver='liblinear')",,,
15,0.9590160693608969,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median'))])",SelectKBest(),RandomForestClassifier(random_state=42),,,
15,0.9590160693608969,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scaler', StandardScaler())])",SelectKBest(),RandomForestClassifier(random_state=42),,,
15,0.9590160693608969,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median'))])",SelectKBest(),RandomForestClassifier(random_state=42),,,
15,0.9590160693608969,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scaler', StandardScaler())])",SelectKBest(),RandomForestClassifier(random_state=42),,,
19,0.9590151677086192,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scaler', StandardScaler())])",SelectKBest(),RandomForestClassifier(random_state=42),,,
19,0.9590151677086192,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median'))])",SelectKBest(),RandomForestClassifier(random_state=42),,,
19,0.9590151677086192,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median'))])",SelectKBest(),RandomForestClassifier(random_state=42),,,
19,0.9590151677086192,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scaler', StandardScaler())])",SelectKBest(),RandomForestClassifier(random_state=42),,,
23,0.9569994956435636,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median'))])",SelectKBest(),"LogisticRegression(max_iter=200, random_state=42, solver='liblinear')",,,
24,0.9553295541725098,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median'))])",passthrough,"LogisticRegression(max_iter=200, random_state=42, solver='liblinear')",,,
25,0.953459657103725,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median'))])",SelectKBest(),"LogisticRegression(max_iter=200, random_state=42, solver='liblinear')",,,
26,0.9500555216507708,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median'))])",passthrough,"LogisticRegression(max_iter=200, random_state=42, solver='liblinear')",,,
27,0.9478899717329273,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scaler', StandardScaler())])",SelectKBest(),"LogisticRegression(max_iter=200, random_state=42, solver='liblinear')",,,
28,0.947085423488112,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median'))])",SelectKBest(),"LogisticRegression(max_iter=200, random_state=42, solver='liblinear')",,,
